sex,age,group_size,rain_month_mm,season,hydro_year,month,diet_PC1,diet_PC2,diet_PC3,diet_PC4,diet_PC5,diet_PC6,diet_PC7,diet_PC8,diet_PC9,diet_PC10,diet_PC11,diet_PC12,diet_PC13,group_num,day_of_month,week_of_year,year,Faecalibacterium,Bifidobacterium,Rikenellaceae_RC9_gut_group,Candidatus_Methanogranum,Prevotella_9,CAG-873,Megasphaera
1,4.09856262833676,19,3.2,0,2001,3,-21.2582862260356,-21.0346443156815,-36.7963236951033,13.0795794725607,2.13832153516459,-2.39619542583317,-4.89056045922935,-8.65235758786267,7.92508530385705,1.44374543217191,-0.555186868165656,0.117348943171935,0.0516284967368578,1.21,3,9,2001,0.000887776007284316,0.0776234919189619,0.1223082176189392,0.0942863646710676,0.1192579103118597,0.0078761666287275,0.2240837696335078
1,4.15058179329227,19,27.4,0,2001,3,28.5732584686106,17.4042168847199,-4.24179179012383,-0.801384457725664,-3.92368801176403,0.514945116527259,0.642577563621585,0.343180847471898,1.09545927061013,0.0391537014516594,0.402992833285144,0.397106085355604,-0.12133969118518,1.21,22,12,2001,0.0461120925826356,0.0034564866733236,0.1050515912640499,0.0355890109327393,0.2374478326548377,0.01090713572471,0.000512072099751645
1,4.19164955509925,20,64.5,0,2001,4,22.316023854835,14.4768672473365,-0.83604129373576,2.49877148528328,-4.54020661235631,0.483217307829141,0.798391816197781,-1.34406867130368,-0.510296220567948,0.0207046695938172,0.488797649878994,0.274237498116986,-0.136747933753442,1.21,6,14,2001,0.0676059263361949,0.0057809471060648,0.0466975906950983,0.0509554140127388,0.264261977291609,0.00024231514815840484,0.0003461644973691498
1,4.2217659137577,20,54.3,0,2001,4,13.4502470457483,4.46495895185063,3.14092296927569,5.03292936424105,-1.61073621576543,0.123767531098158,-1.73223390802366,6.68353117346657,5.53820019851159,-0.0876351633356743,1.43053288502664,0.846604580492527,0.142662065603258,1.21,17,16,2001,0.1138957162921348,0.0028967696629213,0.0750526685393258,0.0228669241573033,0.3063114466292134,0.0,0.0003072331460674157
1,4.22724161533196,20,54.3,0,2001,4,-6.16098132263241,3.04893433850039,6.8785752174729,8.35641658382256,-0.950448733489082,0.0205381149106398,-2.42359106186725,6.63344722933821,5.54377917889086,-0.241923799887813,1.7782299140853,0.815566936511534,0.183042632498134,1.21,19,16,2001,0.115397124829246,0.0016587523580303,0.031321147466337,0.0,0.3544851362778898,9.757366811943018e-05,0.00019514733623886036
1,4.86516084873374,22,2.2,0,2002,12,-12.8520797510293,-15.4832480224104,3.09735518605474,-10.2002791926834,8.05418078345012,0.0840266830096085,1.70390557330607,11.7167503322956,7.12368569574511,-8.62826651731426,-3.09747738199594,-0.318648274424841,1.01203746380576,1.21,8,49,2001,0.0,0.1774394809084102,0.1287746443723484,0.174569503369104,0.0637634140254554,0.0406788120788619,0.0587721487397055
1,4.88158795345654,22,2.2,0,2002,12,-12.8279842587759,-17.364331840992,0.591330498590907,-12.5242261903517,5.15426465508994,6.86795516200751,8.91114924730909,10.8956277048972,5.89725005122471,-13.9366257978524,-4.41341052331817,-0.473079763915388,0.88652787583931,1.21,14,50,2001,0.001208033422258,0.14461166758947,0.0958373181658025,0.2516736296370866,0.109276689988423,0.0432375295716514,0.105300246640157
1,4.88980150581793,22,3.6,0,2002,12,-24.9467667848391,-27.018430330095,2.29866294166987,-17.0972979590478,7.3650506040185,6.48313459698768,14.6697294746921,9.65137145898389,3.13986452752688,-20.1812843184695,-2.86073253634678,-0.719984804186887,0.986758689123836,1.21,17,51,2001,0.0014513168566184,0.4325351090621932,0.0295385666111751,0.0490459725957228,0.1465830025184616,0.024885815512016,0.0972809151833354
1,4.89801505817933,22,9.8,0,2002,12,-24.9467667848391,-27.018430330095,2.29866294166987,-17.0972979590478,7.3650506040185,6.48313459698768,14.6697294746921,9.65137145898389,3.13986452752688,-20.1812843184695,-2.86073253634678,-0.719984804186887,0.986758689123836,1.21,20,51,2001,0.0,0.4444358458442966,0.1244389413403497,0.072202445441882,0.0555641541557034,0.0176830212041479,0.0315353660424082
1,4.90349075975359,22,15.6,0,2002,12,-24.9444785796851,-25.2428027474339,4.15475477252386,-14.0259415795429,6.21036367132353,7.00613063111743,15.4700549985698,6.88835773729322,3.12606742832199,-16.253965014195,-1.98958159546179,-0.61572782007944,0.849009586293623,1.21,22,51,2001,0.0751953928424516,0.2438914027149321,0.0363636363636363,0.0359934183463595,0.0664335664335664,0.0008227067050596462,0.004648292883587
1,4.91444216290212,22,24.0,0,2002,12,-25.059825147521,-25.1107630282116,4.17840266680394,-13.947703989009,6.2386897937448,6.91128490169885,15.4806258967246,6.88557763809905,3.17803324587784,-16.3693538051841,-0.700304363345719,-0.63540815974349,0.839168092291376,1.21,26,52,2001,0.0026805424156417,0.3393251340271208,0.1026490066225165,0.0782087669504888,0.031772311573636,0.0026017029328287,0.0112740460422579
1,4.93360711841205,22,24.0,0,2002,1,-24.8494370935525,-25.2757402754798,3.87249538993018,-14.5763317142381,6.87956747513545,8.7410813125748,11.4602228478908,7.71656635343604,4.88692572493805,-14.2679879154096,-0.0413812729371189,-0.35833663009464,0.807167924999171,1.21,2,1,2002,0.0046376811594202,0.1889855072463768,0.1315942028985507,0.0546859903381642,0.0974557165861513,0.0219645732689211,0.0447020933977455
